Entity,Code,Year,"Age-standardized deaths that are from malignant neoplasms per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from cardiovascular diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from respiratory infections per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from infectious and parasitic diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from digestive diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from unintentional injuries per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from intentional injuries per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from neuropsychiatric conditions per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from respiratory diseases per 100,000 people, in both sexes aged all ages"
Albania,ALB,1987,88.86098,331.37842,69.32097,13.346996,26.685045,20.186192,3.9684098,15.738141,26.313232
Albania,ALB,1988,99.33253,333.6215,59.96708,11.110825,25.621843,21.611263,3.8571498,15.147495,26.932293
Albania,ALB,1989,92.8172,339.1301,75.36185,15.654971,25.803211,23.080498,4.757231,16.810797,25.726141
Albania,ALB,1992,74.52899,289.6585,64.09694,9.98638,20.88168,28.329859,6.022823,16.140594,21.51648
Albania,ALB,1993,66.275505,264.37045,69.78366,13.130654,21.906736,31.997355,9.344987,22.92609,23.432169
Albania,ALB,1994,59.959095,236.3284,45.89773,11.635212,17.445784,26.270117,6.3138204,22.731865,22.816742
Albania,ALB,1995,79.973694,290.53366,50.015182,6.2158575,19.343416,31.606548,11.346984,17.583149,21.497353
Albania,ALB,1996,89.26425,314.9575,45.937454,6.4933434,17.778957,30.961727,11.487922,18.334576,21.548323
Albania,ALB,1997,83.35791,281.10385,33.796005,4.7401843,13.964517,31.47459,45.507923,14.622017,17.319284
Albania,ALB,1998,87.945984,314.32132,31.089407,4.4100404,13.710945,29.7026,24.456343,17.809658,17.792858
Albania,ALB,1999,91.83543,288.9499,23.929518,3.5057914,12.567855,31.082512,19.85171,11.29204,15.767028
Albania,ALB,2000,96.299095,349.8244,28.050459,3.5417128,14.276391,38.52606,5.980974,15.670355,20.474329
Albania,ALB,2001,75.783905,277.15262,16.292585,4.5206156,11.662889,30.4724,11.972379,16.573158,13.553508
Albania,ALB,2002,85.5631,298.93408,18.049122,4.5948644,10.743198,29.379787,12.08592,15.491848,14.954377
Albania,ALB,2003,93.94218,328.60852,20.36788,4.4917383,10.838188,30.025005,9.639113,18.280018,16.539534
Albania,ALB,2004,89.29275,312.56067,16.440536,4.5447726,10.479077,29.31627,9.31955,19.062983,16.699833
Albania,ALB,2005,81.91079,294.53677,12.007281,3.2203562,9.447943,0,0,18.306616,15.173623
Albania,ALB,2006,80.33724,281.12512,7.6443586,3.896322,9.831316,0.10589131,0,17.403467,13.584775
Albania,ALB,2007,68.52782,239.36775,7.233839,2.593476,8.670855,19.551405,7.5471315,13.91611,11.711932
Albania,ALB,2008,75.5324,279.01453,4.527637,2.1744478,8.350623,22.273907,8.471125,6.1815977,10.700809
Albania,ALB,2009,70.734245,264.95486,4.6227937,1.2113036,8.287836,0,0,6.143717,9.940529
Albania,ALB,2010,53.232414,184.45703,3.1040833,1.2890308,5.543998,17.396524,5.488112,8.957142,6.8135977
Antigua and Barbuda,ATG,1961,115.36635,378.4812,76.41519,187.45468,90.1026,43.449547,4.1109295,16.20795,15.072626
Antigua and Barbuda,ATG,1962,106.60261,381.81592,53.914722,168.16559,14.852956,21.239815,0,27.497414,2.306789
Antigua and Barbuda,ATG,1963,163.71687,401.75586,91.334885,144.34256,65.81717,61.13315,4.355333,11.047793,6.5229187
Antigua and Barbuda,ATG,1964,180.86116,357.03195,31.076647,136.08063,71.22717,27.823332,0,23.81235,2.5433333
Antigua and Barbuda,ATG,1966,131.50122,470.8961,40.11898,71.97086,31.3613,47.92509,4.66046,21.11903,4.009805
Antigua and Barbuda,ATG,1969,154.70233,318.32715,49.128212,59.919052,23.869413,19.898603,0,28.009565,9.350201
Antigua and Barbuda,ATG,1970,102.91071,554.5336,45.979366,58.256916,40.70295,17.900423,3.0801945,29.813974,8.720973
Antigua and Barbuda,ATG,1971,140.77502,565.9357,24.024103,54.206104,44.998947,9.345823,0,37.761837,27.024754
Antigua and Barbuda,ATG,1972,142.46162,597.7632,44.369347,34.479492,31.35118,10.321165,2.7405405,17.167137,6.8657384
Antigua and Barbuda,ATG,1973,123.539986,579.50885,74.81035,45.026176,28.573294,15.933999,8.222398,44.35168,12.566937
Antigua and Barbuda,ATG,1974,116.92481,628.1369,45.405266,82.94927,54.519356,27.643198,1.5017352,67.29709,26.637089
Antigua and Barbuda,ATG,1975,149.4563,587.698,47.914474,29.825611,31.43017,18.472147,10.482392,21.447031,33.843857
Antigua and Barbuda,ATG,1976,141.67532,617.3869,60.597477,39.33379,48.928833,25.414263,0,42.510323,19.838812
Antigua and Barbuda,ATG,1977,159.40036,573.5276,55.57316,39.262196,27.107918,11.926585,1.0401101,48.332848,20.836098
Antigua and Barbuda,ATG,1978,130.11209,408.92725,36.126717,27.629559,28.634666,5.6306486,0,27.744059,9.135782
Antigua and Barbuda,ATG,1983,83.3821,269.01956,44.25327,45.174488,20.388865,2.5951679,,5.903208,4.0378513
Antigua and Barbuda,ATG,1985,128.11398,337.97183,40.584938,12.063902,34.63079,10.932022,1.5526831,6.4149685,18.251451
Antigua and Barbuda,ATG,1986,91.49796,308.56305,24.895107,22.950865,33.901493,9.220665,0,45.78559,5.824063
Antigua and Barbuda,ATG,1987,123.762215,334.39246,33.637608,17.205338,7.8809824,14.537099,,27.115915,3.322595
Antigua and Barbuda,ATG,1988,65.48825,362.64005,66.49929,21.414095,22.780418,5.946949,0,9.612926,10.453759
Antigua and Barbuda,ATG,1989,131.34651,264.45505,38.91699,22.369762,31.008102,39.48753,3.8665147,14.810346,11.29517
Antigua and Barbuda,ATG,1990,121.93969,302.57874,41.176205,26.98287,38.882015,14.989914,4.7468333,18.698503,18.72828
Antigua and Barbuda,ATG,1991,108.906494,265.8481,44.750767,18.646938,24.31097,16.5911,7.463837,18.863619,19.485315
Antigua and Barbuda,ATG,1992,113.80181,306.7622,46.9353,17.141367,34.420113,28.322123,2.6791527,11.481623,9.938692
Antigua and Barbuda,ATG,1993,93.06351,298.78052,37.804943,9.349631,42.397728,32.1242,,14.767708,4.2421875
Antigua and Barbuda,ATG,1994,147.91576,266.757,32.69134,19.213188,23.974255,11.273904,,26.009087,17.253956
Antigua and Barbuda,ATG,1995,113.55078,268.94742,13.592929,13.687773,36.63782,12.406495,,26.834436,8.534236
Antigua and Barbuda,ATG,1998,108.58879,282.2647,11.345544,27.602272,14.091743,35.204678,0,25.976774,18.61622
Antigua and Barbuda,ATG,1999,112.237434,294.9562,21.604029,23.669943,44.062183,45.233383,0,22.867416,18.713657
Antigua and Barbuda,ATG,2000,139.70055,213.94537,27.63551,38.822853,32.259327,22.986212,6.5944934,20.456476,18.944801
Antigua and Barbuda,ATG,2001,103.12247,235.6646,18.869013,44.164295,24.54269,37.09278,14.788733,4.2396545,16.495974
Antigua and Barbuda,ATG,2002,109.00469,215.96507,17.497269,26.555878,34.805832,27.921902,4.5167847,10.045043,12.785848
Antigua and Barbuda,ATG,2003,116.512375,257.58002,27.766129,15.885029,17.207687,25.010551,4.3931894,8.864161,12.410678
Antigua and Barbuda,ATG,2004,137.18353,238.383,9.162422,20.577572,26.14215,20.128656,11.121107,16.24868,8.723438
Antigua and Barbuda,ATG,2005,96.70364,255.59813,21.882338,27.25475,27.515429,1.1441214,0,15.310814,15.864586
Antigua and Barbuda,ATG,2006,84.97336,221.31737,25.520903,48.29844,20.579214,9.024165,4.7698736,16.058578,7.774543
Antigua and Barbuda,ATG,2007,120.95044,199.60213,22.063019,25.318136,26.313295,38.809086,1.0814974,17.140219,16.802608
